"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2022",70
"2","Alaska","2022",21
"4","Arizona","2022",40
"5","Arkansas","2022",72
"6","California","2022",31
"8","Colorado","2022",23
"9","Connecticut","2022",38
"10","Delaware","2022",42
"11","District of Columbia","2022",46
"12","Florida","2022",63
"13","Georgia","2022",52
"15","Hawaii","2022",37
"16","Idaho","2022",28
"17","Illinois","2022",39
"18","Indiana","2022",42
"19","Iowa","2022",43
"20","Kansas","2022",48
"21","Kentucky","2022",65
"22","Louisiana","2022",74
"23","Maine","2022",32
"24","Maryland","2022",37
"25","Massachusetts","2022",31
"26","Michigan","2022",42
"27","Minnesota","2022",26
"28","Mississippi","2022",81
"29","Missouri","2022",46
"30","Montana","2022",26
"31","Nebraska","2022",46
"32","Nevada","2022",37
"33","New Hampshire","2022",28
"34","New Jersey","2022",45
"35","New Mexico","2022",35
"36","New York","2022",49
"37","North Carolina","2022",46
"38","North Dakota","2022",39
"39","Ohio","2022",47
"40","Oklahoma","2022",52
"41","Oregon","2022",23
"42","Pennsylvania","2022",42
"44","Rhode Island","2022",39
"45","South Carolina","2022",58
"46","South Dakota","2022",38
"47","Tennessee","2022",64
"48","Texas","2022",51
"49","Utah","2022",30
"50","Vermont","2022",25
"51","Virginia","2022",38
"53","Washington","2022",21
"54","West Virginia","2022",74
"55","Wisconsin","2022",29
"56","Wyoming","2022",31
