"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2023",70
"2","Alaska","2023",21
"4","Arizona","2023",39
"5","Arkansas","2023",72
"6","California","2023",31
"8","Colorado","2023",23
"9","Connecticut","2023",38
"10","Delaware","2023",40
"11","District of Columbia","2023",44
"12","Florida","2023",61
"13","Georgia","2023",51
"15","Hawaii","2023",40
"16","Idaho","2023",26
"17","Illinois","2023",39
"18","Indiana","2023",40
"19","Iowa","2023",41
"20","Kansas","2023",47
"21","Kentucky","2023",62
"22","Louisiana","2023",74
"23","Maine","2023",31
"24","Maryland","2023",37
"25","Massachusetts","2023",30
"26","Michigan","2023",40
"27","Minnesota","2023",25
"28","Mississippi","2023",81
"29","Missouri","2023",45
"30","Montana","2023",29
"31","Nebraska","2023",44
"32","Nevada","2023",36
"33","New Hampshire","2023",30
"34","New Jersey","2023",45
"35","New Mexico","2023",34
"36","New York","2023",50
"37","North Carolina","2023",45
"38","North Dakota","2023",37
"39","Ohio","2023",46
"40","Oklahoma","2023",52
"41","Oregon","2023",22
"42","Pennsylvania","2023",41
"44","Rhode Island","2023",40
"45","South Carolina","2023",57
"46","South Dakota","2023",36
"47","Tennessee","2023",61
"48","Texas","2023",51
"49","Utah","2023",29
"50","Vermont","2023",27
"51","Virginia","2023",38
"53","Washington","2023",21
"54","West Virginia","2023",76
"55","Wisconsin","2023",27
"56","Wyoming","2023",32
