"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2020",166
"2","Alaska","2020",45
"4","Arizona","2020",81
"5","Arkansas","2020",134
"6","California","2020",65
"8","Colorado","2020",49
"9","Connecticut","2020",82
"10","Delaware","2020",78
"11","District of Columbia","2020",82
"12","Florida","2020",101
"13","Georgia","2020",107
"15","Hawaii","2020",62
"16","Idaho","2020",61
"17","Illinois","2020",88
"18","Indiana","2020",85
"19","Iowa","2020",90
"20","Kansas","2020",86
"21","Kentucky","2020",114
"22","Louisiana","2020",163
"23","Maine","2020",59
"24","Maryland","2020",76
"25","Massachusetts","2020",64
"26","Michigan","2020",94
"27","Minnesota","2020",53
"28","Mississippi","2020",188
"29","Missouri","2020",84
"30","Montana","2020",58
"31","Nebraska","2020",89
"32","Nevada","2020",82
"33","New Hampshire","2020",52
"34","New Jersey","2020",116
"35","New Mexico","2020",75
"36","New York","2020",107
"37","North Carolina","2020",69
"38","North Dakota","2020",67
"39","Ohio","2020",92
"40","Oklahoma","2020",103
"41","Oregon","2020",42
"42","Pennsylvania","2020",81
"44","Rhode Island","2020",86
"45","South Carolina","2020",96
"46","South Dakota","2020",74
"47","Tennessee","2020",121
"48","Texas","2020",102
"49","Utah","2020",59
"50","Vermont","2020",58
"51","Virginia","2020",75
"53","Washington","2020",43
"54","West Virginia","2020",117
"55","Wisconsin","2020",54
"56","Wyoming","2020",78
