"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2022",196
"2","Alaska","2022",52
"4","Arizona","2022",96
"5","Arkansas","2022",183
"6","California","2022",76
"8","Colorado","2022",57
"9","Connecticut","2022",97
"10","Delaware","2022",88
"11","District of Columbia","2022",89
"12","Florida","2022",136
"13","Georgia","2022",130
"15","Hawaii","2022",73
"16","Idaho","2022",76
"17","Illinois","2022",101
"18","Indiana","2022",100
"19","Iowa","2022",102
"20","Kansas","2022",104
"21","Kentucky","2022",171
"22","Louisiana","2022",189
"23","Maine","2022",63
"24","Maryland","2022",87
"25","Massachusetts","2022",75
"26","Michigan","2022",114
"27","Minnesota","2022",60
"28","Mississippi","2022",254
"29","Missouri","2022",99
"30","Montana","2022",68
"31","Nebraska","2022",104
"32","Nevada","2022",96
"33","New Hampshire","2022",62
"34","New Jersey","2022",140
"35","New Mexico","2022",101
"36","New York","2022",124
"37","North Carolina","2022",88
"38","North Dakota","2022",75
"39","Ohio","2022",108
"40","Oklahoma","2022",134
"41","Oregon","2022",46
"42","Pennsylvania","2022",96
"44","Rhode Island","2022",104
"45","South Carolina","2022",123
"46","South Dakota","2022",86
"47","Tennessee","2022",151
"48","Texas","2022",141
"49","Utah","2022",69
"50","Vermont","2022",55
"51","Virginia","2022",94
"53","Washington","2022",47
"54","West Virginia","2022",173
"55","Wisconsin","2022",56
"56","Wyoming","2022",95
