"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2021",72
"2","Alaska","2021",21
"4","Arizona","2021",41
"5","Arkansas","2021",71
"6","California","2021",31
"8","Colorado","2021",23
"9","Connecticut","2021",39
"10","Delaware","2021",41
"11","District of Columbia","2021",46
"12","Florida","2021",63
"13","Georgia","2021",53
"15","Hawaii","2021",35
"16","Idaho","2021",29
"17","Illinois","2021",40
"18","Indiana","2021",43
"19","Iowa","2021",44
"20","Kansas","2021",49
"21","Kentucky","2021",67
"22","Louisiana","2021",74
"23","Maine","2021",35
"24","Maryland","2021",38
"25","Massachusetts","2021",32
"26","Michigan","2021",44
"27","Minnesota","2021",27
"28","Mississippi","2021",81
"29","Missouri","2021",48
"30","Montana","2021",26
"31","Nebraska","2021",47
"32","Nevada","2021",36
"33","New Hampshire","2021",29
"34","New Jersey","2021",44
"35","New Mexico","2021",35
"36","New York","2021",50
"37","North Carolina","2021",47
"38","North Dakota","2021",39
"39","Ohio","2021",48
"40","Oklahoma","2021",54
"41","Oregon","2021",24
"42","Pennsylvania","2021",44
"44","Rhode Island","2021",40
"45","South Carolina","2021",59
"46","South Dakota","2021",38
"47","Tennessee","2021",66
"48","Texas","2021",52
"49","Utah","2021",30
"50","Vermont","2021",25
"51","Virginia","2021",39
"53","Washington","2021",22
"54","West Virginia","2021",74
"55","Wisconsin","2021",30
"56","Wyoming","2021",31
