"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2019",92
"2","Alaska","2019",28
"4","Arizona","2019",51
"5","Arkansas","2019",85
"6","California","2019",41
"8","Colorado","2019",30
"9","Connecticut","2019",54
"10","Delaware","2019",55
"11","District of Columbia","2019",61
"12","Florida","2019",78
"13","Georgia","2019",65
"15","Hawaii","2019",48
"16","Idaho","2019",37
"17","Illinois","2019",53
"18","Indiana","2019",58
"19","Iowa","2019",62
"20","Kansas","2019",64
"21","Kentucky","2019",86
"22","Louisiana","2019",90
"23","Maine","2019",45
"24","Maryland","2019",51
"25","Massachusetts","2019",44
"26","Michigan","2019",57
"27","Minnesota","2019",35
"28","Mississippi","2019",95
"29","Missouri","2019",62
"30","Montana","2019",37
"31","Nebraska","2019",69
"32","Nevada","2019",48
"33","New Hampshire","2019",37
"34","New Jersey","2019",63
"35","New Mexico","2019",44
"36","New York","2019",69
"37","North Carolina","2019",61
"38","North Dakota","2019",54
"39","Ohio","2019",63
"40","Oklahoma","2019",66
"41","Oregon","2019",32
"42","Pennsylvania","2019",59
"44","Rhode Island","2019",59
"45","South Carolina","2019",74
"46","South Dakota","2019",49
"47","Tennessee","2019",83
"48","Texas","2019",65
"49","Utah","2019",38
"50","Vermont","2019",35
"51","Virginia","2019",52
"53","Washington","2019",29
"54","West Virginia","2019",90
"55","Wisconsin","2019",40
"56","Wyoming","2019",38
