"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2021",190
"2","Alaska","2021",43
"4","Arizona","2021",78
"5","Arkansas","2021",161
"6","California","2021",54
"8","Colorado","2021",44
"9","Connecticut","2021",71
"10","Delaware","2021",70
"11","District of Columbia","2021",72
"12","Florida","2021",119
"13","Georgia","2021",125
"15","Hawaii","2021",45
"16","Idaho","2021",64
"17","Illinois","2021",77
"18","Indiana","2021",84
"19","Iowa","2021",88
"20","Kansas","2021",87
"21","Kentucky","2021",139
"22","Louisiana","2021",192
"23","Maine","2021",48
"24","Maryland","2021",66
"25","Massachusetts","2021",56
"26","Michigan","2021",94
"27","Minnesota","2021",49
"28","Mississippi","2021",236
"29","Missouri","2021",88
"30","Montana","2021",56
"31","Nebraska","2021",92
"32","Nevada","2021",71
"33","New Hampshire","2021",46
"34","New Jersey","2021",104
"35","New Mexico","2021",77
"36","New York","2021",94
"37","North Carolina","2021",71
"38","North Dakota","2021",67
"39","Ohio","2021",94
"40","Oklahoma","2021",126
"41","Oregon","2021",35
"42","Pennsylvania","2021",75
"44","Rhode Island","2021",75
"45","South Carolina","2021",112
"46","South Dakota","2021",82
"47","Tennessee","2021",141
"48","Texas","2021",123
"49","Utah","2021",59
"50","Vermont","2021",43
"51","Virginia","2021",73
"53","Washington","2021",35
"54","West Virginia","2021",137
"55","Wisconsin","2021",48
"56","Wyoming","2021",82
