Phenotype,HAI Type,Age,State,ID State,Percent Resistant,Year
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Alabama,1,1.8,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Arkansas,5,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Arizona,4,4.1,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,California,6,4.1,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Colorado,8,0.7,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Connecticut,9,4.9,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,District of Columbia,11,9.8,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Delaware,10,7.4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Florida,12,3.5,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Georgia,13,3.6,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Hawaii,15,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Idaho,16,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Illinois,17,3.9,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Indiana,18,2.6,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Iowa,19,4.1,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Kansas,20,1.4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Kentucky,21,1.8,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Louisiana,22,2,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Maine,23,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Maryland,24,4.4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Massachusetts,25,8.3,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Michigan,26,7.1,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Minnesota,27,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Missouri,29,4.2,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Mississippi,28,7.9,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Montana,30,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,North Carolina,37,1.6,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,North Dakota,38,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Nebraska,31,1.4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,New Hampshire,33,4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,New Jersey,34,5.5,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,New Mexico,35,1.4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Nevada,32,10.2,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,New York,36,6.3,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Ohio,39,3.4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Oklahoma,40,4.3,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Oregon,41,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Pennsylvania,42,2.6,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Rhode Island,44,6.9,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,South Carolina,45,2.4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,South Dakota,46,2.1,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Tennessee,47,3.5,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Texas,48,2,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Utah,49,1.4,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Virginia,51,1.5,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Washington,53,0,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Wisconsin,55,1.1,2021
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,West Virginia,54,6.7,2021
